Age,Gender,Weight_kg,Height_cm,BMI,Activity_Level,Exercise_Type,MET,Target_Calories,Duration_minutes
35,Female,62.1,157.9,24.9,Lightly Active,Swimming,7.0,236,27.8
51,Male,81.3,173.2,,Very Active,Yoga,2.5,516,142.3
25,Female,58.8,153.3,25.0,Sedentary,Yoga,2.5,698,180.0
43,Female,50.7,,21.4,Moderately Active,Running,8.0,327,50.8
21,Female,47.5,155.8,19.6,Sedentary,Running,8.0,286,46.1
59,Male,40.6,164.2,15.1,Sedentary,Yoga,2.5,212,116.6
42,Female,57.3,148.6,26.0,Sedentary,Running,8.0,230,24.7
34,Male,72.8,174.2,24.0,Moderately Active,Running,8.0,667,74.5
50,Male,85.1,154.5,35.7,Sedentary,Swimming,7.0,684,57.7
22,Male,59.2,168.1,20.9,Lightly Active,Yoga,2.5,391,151.0
59,Male,71.7,169.0,25.1,Moderately Active,Walking,3.5,639,142.1
31,Female,54.8,155.9,,Lightly Active,Swimming,7.0,491,74.5
29,Female,59.0,155.0,,Sedentary,Running,8.0,312,51.4
42,Female,58.0,156.2,23.8,Moderately Active,Swimming,7.0,536,81.9
47,Female,54.9,170.2,,Sedentary,Running,8.0,326,45.5
60,Male,59.2,166.8,21.3,Moderately Active,Cycling,6.0,408,64.9
50,Male,74.2,177.0,23.7,Sedentary,Cycling,6.0,683,81.5
25,Female,40.0,160.0,,Sedentary,Walking,3.5,699,180.0
22,Male,60.6,165.9,22.0,Lightly Active,Cycling,6.0,252,38.9
49,Male,52.1,169.9,18.0,Very Active,Walking,3.5,319,94.7
58,Female,49.7,169.9,17.2,Lightly Active,Cycling,6.0,592,120.1
46,Female,59.0,161.1,22.7,Moderately Active,Running,8.0,607,74.3
37,Male,49.7,166.1,18.0,Moderately Active,Running,8.0,641,87.6
31,Male,63.1,176.7,20.2,Moderately Active,Cycling,6.0,582,89.0
53,Male,77.4,173.4,25.7,Lightly Active,Walking,3.5,171,27.7
60,Male,56.8,167.8,20.2,Moderately Active,Swimming,7.0,184,26.7
25,Female,47.5,161.5,18.2,Moderately Active,Yoga,2.5,390,180.0
56,Female,50.0,167.0,17.9,Sedentary,Swimming,7.0,353,61.9
45,Female,43.8,156.1,18.0,Lightly Active,Cycling,6.0,160,35.7
54,Male,49.5,175.1,16.2,Lightly Active,Walking,3.5,452,155.0
20,Female,44.3,168.7,15.6,Sedentary,Swimming,7.0,156,36.8
18,Male,50.2,169.3,17.5,Very Active,Walking,3.5,316,96.7
22,Male,61.5,180.2,18.9,Sedentary,Cycling,6.0,534,80.8
52,Male,65.9,181.8,19.9,Sedentary,Walking,3.5,367,87.0
21,Male,59.1,170.6,,Lightly Active,Walking,3.5,302,84.5
42,Male,84.4,165.4,30.9,Lightly Active,Walking,3.5,154,26.8
45,Female,45.2,161.2,17.4,Lightly Active,Cycling,6.0,314,61.7
34,Female,47.3,153.2,20.2,Lightly Active,Swimming,7.0,387,67.6
48,Male,82.1,171.5,27.9,Lightly Active,Running,8.0,581,50.9
32,Male,61.1,164.4,,Sedentary,Running,8.0,295,26.5
18,Female,40.0,165.3,14.6,Sedentary,Swimming,7.0,304,69.3
30,Male,82.5,,33.6,Moderately Active,Swimming,7.0,453,46.5
49,Male,72.2,174.3,23.8,Sedentary,Swimming,7.0,404,47.3
42,Female,56.2,157.8,22.6,Moderately Active,Yoga,2.5,379,155.4
21,Female,58.8,156.8,23.9,Moderately Active,Running,8.0,185,16.7
20,Female,63.2,165.6,23.0,Very Active,Running,8.0,650,73.5
29,Male,75.3,164.4,27.8,Sedentary,Walking,3.5,389,81.7
57,Female,51.6,166.7,18.6,Sedentary,Walking,3.5,567,180.0
50,Male,60.2,173.1,20.1,Sedentary,Cycling,6.0,422,71.8
45,Male,69.8,162.0,26.6,Sedentary,Walking,3.5,203,56.1
46,Female,51.4,161.9,19.6,Lightly Active,Running,8.0,340,46.7
40,Female,40.0,155.7,16.5,Sedentary,Swimming,7.0,506,97.0
23,Male,63.2,157.9,25.3,Very Active,Walking,3.5,433,107.9
58,Female,54.0,159.2,21.3,Sedentary,Running,8.0,177,27.3
27,Male,,169.2,23.3,Lightly Active,Walking,3.5,677,168.3
29,Male,40.0,163.0,,Lightly Active,Yoga,2.5,658,180.0
25,Male,,183.8,12.9,Sedentary,Walking,3.5,269,98.1
31,Female,43.8,160.6,17.0,Moderately Active,Walking,3.5,311,114.3
43,Female,63.7,156.4,26.0,Sedentary,Swimming,7.0,194,23.0
46,Female,54.6,166.5,,Lightly Active,Swimming,7.0,343,48.8
46,Male,73.4,186.3,21.2,Sedentary,Walking,3.5,332,75.8
23,Male,,168.7,22.1,Sedentary,Walking,3.5,439,118.7
52,Female,50.6,,23.6,Moderately Active,Walking,3.5,402,124.8
22,Male,50.0,158.9,19.8,Lightly Active,Walking,3.5,576,180.0
29,Female,56.8,160.3,22.1,Very Active,Walking,3.5,574,164.0
38,Female,62.5,157.8,25.1,Very Active,Walking,3.5,218,51.2
59,Female,70.6,173.5,23.4,Very Active,Walking,3.5,559,128.2
25,Male,61.3,166.8,,Moderately Active,Walking,3.5,443,112.6
18,Male,,169.7,27.6,Sedentary,Running,8.0,395,41.8
23,Male,66.0,177.6,20.9,Lightly Active,Yoga,2.5,242,75.9
47,Male,63.0,177.1,20.1,Lightly Active,Running,8.0,295,39.1
41,Female,56.9,159.4,22.4,Moderately Active,Swimming,7.0,421,59.2
60,Female,55.7,154.9,23.2,Moderately Active,Running,8.0,459,57.8
20,Male,87.7,166.8,31.5,Moderately Active,Running,8.0,540,46.4
30,Female,59.1,153.1,25.2,Moderately Active,Swimming,7.0,586,76.1
53,Female,56.7,154.4,23.8,Moderately Active,Walking,3.5,646,180.0
55,Female,58.7,151.3,25.6,Moderately Active,Swimming,7.0,194,21.4
43,Male,68.0,170.7,23.4,Moderately Active,Swimming,7.0,238,31.9
31,Male,75.9,163.8,28.3,Very Active,Swimming,7.0,230,30.8
39,Female,64.8,162.7,24.5,Lightly Active,Yoga,2.5,254,86.9
59,Female,51.7,159.3,20.4,Moderately Active,Running,8.0,393,52.7
18,Male,62.5,168.9,21.9,Moderately Active,Cycling,6.0,485,76.5
45,Female,54.8,167.0,19.7,Very Active,Yoga,2.5,178,76.0
29,Male,75.1,179.1,23.4,Lightly Active,Running,8.0,696,66.4
50,Female,,153.3,18.8,Moderately Active,Cycling,6.0,645,142.0
58,Male,67.1,184.3,19.8,Lightly Active,Yoga,2.5,476,158.5
36,Female,57.1,155.5,23.6,Sedentary,Swimming,7.0,607,88.7
25,Male,64.9,172.1,21.9,Moderately Active,Walking,3.5,541,142.7
43,Male,55.2,163.1,20.7,Lightly Active,Cycling,6.0,680,118.5
39,Male,75.7,171.2,25.8,Moderately Active,Yoga,2.5,212,66.8
34,Male,62.8,,25.3,Moderately Active,Swimming,7.0,459,56.9
45,Female,52.7,153.8,22.3,Moderately Active,Walking,3.5,655,180.0
56,Female,53.4,164.6,19.7,Sedentary,Running,8.0,422,59.1
20,Male,,166.5,32.4,Sedentary,Walking,3.5,179,38.9
37,Male,50.8,172.9,17.0,Sedentary,Swimming,7.0,279,44.3
48,Male,66.1,170.2,22.8,Moderately Active,Swimming,7.0,351,39.8
40,Male,58.8,176.9,18.8,Moderately Active,Running,8.0,258,36.0
60,Female,47.7,157.5,19.2,Very Active,Walking,3.5,441,151.1
56,Female,49.1,156.8,20.0,Lightly Active,Running,8.0,423,61.7
27,Male,52.0,169.4,18.1,Lightly Active,Yoga,2.5,179,74.6
50,Female,75.3,161.2,29.0,Very Active,Cycling,6.0,430,57.4
47,Female,40.0,148.6,18.1,Moderately Active,Running,8.0,526,90.0
18,Female,57.9,151.4,,Sedentary,Walking,3.5,393,109.5
59,Female,58.2,162.0,22.2,Lightly Active,Swimming,7.0,160,11.0
49,Male,55.3,171.2,18.9,Lightly Active,Walking,3.5,455,131.6
19,Female,,155.7,22.4,Moderately Active,Running,8.0,531,73.4
29,Male,69.1,169.9,23.9,Lightly Active,Running,8.0,408,40.3
42,Female,54.8,145.9,25.7,Lightly Active,Swimming,7.0,568,82.7
27,Female,49.0,164.2,18.2,Lightly Active,Walking,3.5,690,180.0
35,Male,71.6,178.0,22.6,Lightly Active,Walking,3.5,528,116.2
26,Female,43.1,150.1,19.1,Moderately Active,Running,8.0,387,70.3
43,Male,55.3,168.1,,Sedentary,Cycling,6.0,278,56.9
27,Male,,172.8,28.0,Lightly Active,Swimming,7.0,390,45.0
32,Male,54.3,170.6,18.6,Moderately Active,Swimming,7.0,347,55.2
54,Female,40.2,151.9,17.4,Lightly Active,Walking,3.5,400,171.1
35,Female,,160.7,19.6,Lightly Active,Walking,3.5,525,172.7
28,Female,49.4,157.3,20.0,Sedentary,Swimming,7.0,301,39.9
52,Male,75.1,162.6,28.4,Moderately Active,Swimming,7.0,386,41.8
44,Male,76.9,,26.3,Moderately Active,Running,8.0,276,26.6
45,Male,60.1,162.3,22.8,Moderately Active,Cycling,6.0,392,69.7
30,Female,59.7,154.6,25.0,Very Active,Walking,3.5,661,176.7
19,Female,41.0,148.6,18.6,Lightly Active,Walking,3.5,450,175.4
28,Female,61.0,166.6,22.0,Moderately Active,Walking,3.5,416,114.9
54,Male,75.0,162.9,28.2,Sedentary,Running,8.0,408,39.7
30,Female,40.0,154.3,16.8,Moderately Active,Walking,3.5,657,180.0
48,Female,55.7,157.9,22.4,Moderately Active,Swimming,7.0,572,79.8
59,Female,64.0,163.0,24.1,Lightly Active,Walking,3.5,179,50.6
60,Female,58.4,147.9,26.7,Moderately Active,Walking,3.5,461,121.2
40,Male,57.3,171.7,19.4,Moderately Active,Swimming,7.0,383,53.6
19,Male,63.5,144.8,30.3,Sedentary,Cycling,6.0,546,69.4
31,Female,43.0,155.0,17.9,Very Active,Walking,3.5,524,180.0
41,Female,54.0,151.5,23.5,Moderately Active,Swimming,7.0,540,76.4
23,Male,58.9,187.7,16.7,Moderately Active,Swimming,7.0,594,79.7
20,Female,60.0,157.2,24.3,Lightly Active,Walking,3.5,151,37.7
55,Male,72.6,173.4,24.1,Sedentary,Walking,3.5,524,114.4
44,Female,58.4,163.1,21.9,Moderately Active,Cycling,6.0,219,40.3
24,Female,40.0,153.7,16.9,Very Active,Cycling,6.0,201,48.2
44,Male,80.2,167.2,28.7,Lightly Active,Walking,3.5,418,89.6
27,Female,55.4,160.7,21.4,Moderately Active,Walking,3.5,265,82.7
53,Female,50.5,144.5,24.2,Sedentary,Running,8.0,327,45.8
38,Male,67.1,175.9,21.7,Sedentary,Walking,3.5,230,55.1
28,Male,66.8,167.6,23.8,Lightly Active,Walking,3.5,479,125.5
18,Female,53.0,159.1,20.9,Very Active,Yoga,2.5,629,180.0
29,Male,74.0,,28.5,Moderately Active,Cycling,6.0,328,42.2
50,Female,46.9,156.0,19.3,Lightly Active,Running,8.0,537,78.5
40,Female,49.8,160.6,19.3,Sedentary,Walking,3.5,408,128.4
47,Female,56.7,160.6,22.0,Moderately Active,Swimming,7.0,233,22.4
30,Female,40.0,162.4,15.2,Sedentary,Cycling,6.0,162,42.0
54,Female,61.7,153.7,26.1,Very Active,Running,8.0,414,54.1
54,Male,85.7,167.2,30.7,Sedentary,Walking,3.5,295,64.4
57,Male,53.7,164.4,19.9,Lightly Active,Walking,3.5,332,103.3
31,Male,61.1,156.5,,Moderately Active,Swimming,7.0,292,41.1
45,Male,54.9,167.9,19.5,Lightly Active,Walking,3.5,628,180.0
60,Female,55.1,142.9,27.0,Lightly Active,Walking,3.5,404,118.6
51,Male,68.9,178.3,21.7,Lightly Active,Swimming,7.0,257,33.5
34,Male,68.7,156.3,28.1,Moderately Active,Swimming,7.0,414,44.9
26,Male,77.4,159.4,30.4,Lightly Active,Walking,3.5,587,119.5
33,Female,56.3,156.8,22.9,Sedentary,Cycling,6.0,512,89.4
54,Male,54.8,151.7,23.8,Very Active,Running,8.0,242,25.0
55,Female,51.1,159.6,20.1,Very Active,Running,8.0,275,41.2
48,Male,63.7,171.0,21.8,Lightly Active,Running,8.0,348,32.4
47,Male,77.1,155.5,31.9,Lightly Active,Walking,3.5,585,119.8
23,Female,53.0,162.3,20.1,Sedentary,Running,8.0,454,53.2
59,Female,47.1,159.2,18.6,Moderately Active,Walking,3.5,632,180.0
40,Male,50.3,178.3,15.8,Sedentary,Running,8.0,162,27.9
57,Female,40.0,149.8,17.8,Lightly Active,Running,8.0,315,60.1
54,Male,81.7,173.7,27.1,Very Active,Walking,3.5,397,75.7
18,Male,61.6,159.0,24.4,Very Active,Walking,3.5,611,152.9
49,Female,41.6,162.6,15.7,Lightly Active,Cycling,6.0,287,63.6
19,Female,63.1,156.1,25.9,Lightly Active,Yoga,2.5,508,179.2
20,Male,88.0,164.7,32.4,Lightly Active,Cycling,6.0,323,33.1
44,Female,59.0,160.9,22.8,Very Active,Swimming,7.0,482,60.9
20,Male,88.0,164.7,32.4,Lightly Active,Cycling,6.0,323,33.1
22,Male,,,16.3,Lightly Active,Cycling,6.0,619,115.0
52,Male,60.0,175.5,19.5,Very Active,Running,8.0,689,75.5
29,Female,55.3,159.8,21.7,Sedentary,Walking,3.5,654,180.0
49,Male,75.6,168.9,,Lightly Active,Running,8.0,391,39.6
38,Female,53.2,160.4,20.7,Very Active,Walking,3.5,200,53.6
25,Male,78.2,174.4,25.7,Lightly Active,Running,8.0,324,22.4
36,Female,43.9,151.1,19.2,Lightly Active,Cycling,6.0,180,33.7
19,Female,56.5,,19.3,Lightly Active,Walking,3.5,325,92.8
37,Male,55.5,165.6,20.2,Sedentary,Walking,3.5,694,180.0
34,Male,76.7,162.6,29.0,Sedentary,Running,8.0,350,31.2
32,Female,69.1,154.7,28.9,Moderately Active,Walking,3.5,465,109.9
32,Male,46.1,167.3,16.5,Moderately Active,Cycling,6.0,361,71.1
40,Female,40.0,157.4,16.1,Sedentary,Walking,3.5,397,169.5
37,Female,59.2,155.1,24.6,Moderately Active,Yoga,2.5,356,136.9
26,Female,54.3,158.7,21.6,Lightly Active,Swimming,7.0,419,62.8
51,Female,47.7,166.3,17.2,Sedentary,Walking,3.5,434,147.6
33,Male,64.4,171.9,21.8,Lightly Active,Swimming,7.0,506,66.6
59,Female,57.5,159.9,22.5,Lightly Active,Yoga,2.5,402,164.5
20,Female,45.1,149.0,20.3,Lightly Active,Swimming,7.0,516,81.5
35,Female,56.9,156.2,,Lightly Active,Cycling,6.0,489,83.4
54,Male,61.4,169.7,21.3,Sedentary,Walking,3.5,224,70.0
23,Female,43.4,170.1,15.0,Lightly Active,Swimming,7.0,381,78.6
51,Female,53.4,155.3,22.2,Very Active,Cycling,6.0,541,94.9
18,Male,62.4,166.2,22.6,Moderately Active,Walking,3.5,668,176.3
28,Male,61.3,166.9,22.0,Lightly Active,Running,8.0,173,21.2
57,Female,,154.5,24.7,Moderately Active,Walking,3.5,289,75.3
56,Female,65.8,155.1,,Moderately Active,Running,8.0,578,62.3
57,Male,83.0,166.1,30.1,Lightly Active,Cycling,6.0,486,54.4
52,Male,49.4,176.5,,Moderately Active,Running,8.0,431,59.0
20,Male,63.3,160.6,24.5,Sedentary,Running,8.0,568,62.7
29,Male,65.5,170.7,22.5,Moderately Active,Yoga,2.5,637,180.0
45,Male,54.9,167.9,19.5,Lightly Active,Walking,3.5,628,180.0
21,Female,52.3,161.3,20.1,Very Active,Running,8.0,443,67.6
43,Male,68.7,175.0,22.4,Very Active,Swimming,7.0,171,18.6
44,Male,77.2,171.4,26.3,Moderately Active,Swimming,7.0,365,31.3
25,Male,65.9,179.4,20.5,Sedentary,Walking,3.5,263,59.2
20,Male,60.9,175.0,19.9,Lightly Active,Swimming,7.0,278,40.3
30,Female,43.2,162.9,16.3,Moderately Active,Swimming,7.0,611,120.7
56,Male,84.4,166.5,30.4,Sedentary,Walking,3.5,182,32.1
29,Male,56.9,155.2,23.6,Moderately Active,Swimming,7.0,636,91.2
32,Male,76.5,165.4,28.0,Sedentary,Cycling,6.0,553,68.8
57,Male,53.7,167.5,19.1,Sedentary,Running,8.0,290,32.6
28,Male,54.3,160.0,,Lightly Active,Walking,3.5,165,43.8
42,Male,63.8,170.1,22.1,Sedentary,Cycling,6.0,645,107.1
37,Female,51.2,160.6,19.9,Sedentary,Swimming,7.0,664,106.2
60,Female,55.2,159.7,21.7,Moderately Active,Walking,3.5,248,83.3
40,Female,60.3,154.4,25.3,Lightly Active,Cycling,6.0,168,33.1
49,Male,,168.9,,Lightly Active,Swimming,7.0,587,74.4
37,Male,61.4,179.6,19.0,Very Active,Yoga,2.5,197,64.7
51,Male,43.1,176.8,13.8,Lightly Active,Walking,3.5,477,180.0
30,Male,75.7,161.4,29.1,Moderately Active,Walking,3.5,443,88.5
45,Male,77.0,184.3,22.7,Moderately Active,Swimming,7.0,558,63.1
53,Female,66.4,160.9,25.6,Lightly Active,Cycling,6.0,477,65.5
27,Female,47.5,167.9,16.8,Lightly Active,Cycling,6.0,679,133.2
41,Male,72.8,169.9,25.2,Very Active,Running,8.0,223,15.5
51,Female,58.9,164.7,21.7,Lightly Active,Walking,3.5,177,43.9
54,Male,60.4,165.8,21.9,Moderately Active,Running,8.0,389,46.0
53,Male,45.3,170.9,15.5,Sedentary,Walking,3.5,273,88.9
23,Female,53.7,159.8,21.0,Lightly Active,Yoga,2.5,473,180.0
31,Male,,182.1,13.7,Very Active,Running,8.0,547,88.8
50,Male,,169.4,20.3,Lightly Active,Swimming,7.0,592,89.4
53,Male,89.1,169.6,31.0,Lightly Active,Walking,3.5,261,50.4
54,Male,55.8,175.7,18.1,Moderately Active,Running,8.0,344,50.4
60,Male,69.9,167.8,24.8,Sedentary,Running,8.0,546,67.2
53,Female,51.5,156.1,21.2,Moderately Active,Swimming,7.0,406,64.0
49,Male,76.3,172.4,25.6,Very Active,Yoga,2.5,311,94.5
58,Female,49.7,169.9,17.2,Lightly Active,Cycling,6.0,592,120.1
46,Male,76.9,176.1,24.8,Sedentary,Yoga,2.5,533,164.7
45,Male,69.3,160.6,26.9,Lightly Active,Cycling,6.0,618,89.6
42,Male,76.6,170.1,26.5,Lightly Active,Walking,3.5,379,78.5
20,Female,58.2,161.6,22.3,Lightly Active,Running,8.0,218,22.1
58,Male,61.4,178.4,19.3,Sedentary,Running,8.0,636,65.2
